name,time,eth_dst,eth_src,ip_dst,ip_proto,ip_src,payload,proto,switch
blocked,1653210863582842112,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,3.28.161.105,160,tcp,0000000000000001
blocked,1653210863583305984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,127.197.237.45,160,tcp,0000000000000001
blocked,1653210863583708928,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,240.207.29.30,160,tcp,0000000000000001
blocked,1653210863584103936,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,62.226.150.67,160,tcp,0000000000000001
blocked,1653210863584492032,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,26.26.248.84,160,tcp,0000000000000001
blocked,1653210863584881920,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,156.233.186.228,160,tcp,0000000000000001
blocked,1653210863585272064,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,157.28.129.13,160,tcp,0000000000000001
blocked,1653210863585673216,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,13.147.176.130,160,tcp,0000000000000001
blocked,1653210863586056960,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,105.42.207.245,160,tcp,0000000000000001
blocked,1653210863586441984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,156.245.56.97,160,tcp,0000000000000001
blocked,1653210863586821120,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,161.42.233.23,160,tcp,0000000000000001
blocked,1653210863587209984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,20.18.31.241,160,tcp,0000000000000001
blocked,1653210863587611904,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,235.202.139.21,160,tcp,0000000000000001
blocked,1653210863587985152,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,106.18.28.15,160,tcp,0000000000000001
blocked,1653210863588361984,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,76.18.25.88,160,tcp,0000000000000001
blocked,1653210863588748032,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,207.8.36.229,160,tcp,0000000000000001
blocked,1653210863589140992,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,109.69.233.28,160,tcp,0000000000000001
blocked,1653210863589562880,00:00:00:00:00:04,00:00:00:00:00:03,10.0.0.4,ipv4,138.187.234.8,160,tcp,0000000000000001
